Name,Full Address,Route 1,Route 2,Route 3,Route 4,Route 5,Route 6,Route 7,Latitude,Longitude
Cork (Wilton),"Doughcloyne Industrial Estate, Sarsfield Road, Cork",https://maps.app.goo.gl/fzin1LpUXwCoxDbh6,https://maps.app.goo.gl/pF76DTDiVbFkFzrF9,https://maps.app.goo.gl/BNps3cnCSbCZCo9L7,https://maps.app.goo.gl/vVxhKRNajS351inW7,https://maps.app.goo.gl/omWp91YKFitTqn9t7,https://maps.app.goo.gl/8eVE77X2ychSaLvu7,https://maps.app.goo.gl/wubYdwvRmLXnydnj7,51.8740386,-8.51128
Mallow (Cork Racecourse Mallow),"The Pavilion Stand Cork Racecourse, Killarney Road, Firville West, Mallow, Co. Cork, P51 XV74",https://maps.app.goo.gl/E3yzrKW19zyBhkLj6,https://maps.app.goo.gl/N7zKVda5VDVoHv55A,https://maps.app.goo.gl/sfcibqrNs6DLcoMq5,https://maps.app.goo.gl/Kg8ijwkiLED7kK2W6,https://maps.app.goo.gl/fUKWgyZixeU4MiUf6,https://maps.app.goo.gl/GWRwjYban3WZHFGF9,https://maps.app.goo.gl/ScYNHhqnFBNpxzFC6,51.8985143,-8.4756035
Dungarvan,"New Civic Offices, Davitts Quay, Waterford",https://maps.app.goo.gl/gwCqEuwVvos2Dt769,https://maps.app.goo.gl/PTWDNbW1RYUZERj57,https://maps.app.goo.gl/fRoEKwduCBtTFqTC7,https://maps.app.goo.gl/YzD65xUFjRXzBWVz8,https://maps.app.goo.gl/EZq7DYUjNYEa267A6,https://maps.app.goo.gl/LG1Q3oZwxqncDV2j8,https://maps.app.goo.gl/4zJ2CYtMTYjv5PKc9,52.0921902,-7.6213853
Skibbereen,"Skibbereen Rugby Club, Mill Rd, Gortnaclohy, Skibberaézézeen, Co. Cork, P81 K308
",https://maps.app.goo.gl/5URRmNmP9ssrFPc58,https://maps.app.goo.gl/5URRmNmP9ssrFPc58,https://maps.app.goo.gl/fXBvntHidr1XYKb88,https://maps.app.goo.gl/vnymD4BC1bAQJSa9A,https://maps.app.goo.gl/XjSzfCP84CWJ9yZk7,https://maps.app.goo.gl/Dn11rD6GLo64CURX7,https://maps.app.goo.gl/nFmvFAc5ajViHNr99,51.8983585,-8.4560851
Tipperary,"Canon Hayes Recreation Centre, Tipperary",https://maps.app.goo.gl/dSgabcNMufX7BHKC9,https://maps.app.goo.gl/WgwzuocjFuzte1rn6,https://maps.app.goo.gl/uFPGW8XBAww67heL6,https://maps.app.goo.gl/C79d9GWV3g7PgU2n6,https://maps.app.goo.gl/pihcgEdp3kTr9BWk9,https://maps.app.goo.gl/RTZv8YYGJHhA8rMz7,https://maps.app.goo.gl/Vf9ZBE24LjXYbEsr5,52.4752558,-8.1567381
Clonmel,"Leisure Centre Complex, Talbot Hotel, Tipperary",https://maps.app.goo.gl/xC5sgjHzqr31fLju8,https://maps.app.goo.gl/LkeZvAsCNjwwxCEC7,https://maps.app.goo.gl/5GVSqnvjZHMYCCT4A,https://maps.app.goo.gl/Uba5uGJmi9RgqM6A8,https://maps.app.goo.gl/M17te9TtSsXf2oaG7,https://maps.app.goo.gl/ziZeRvYYiz3xu3RZ7,https://maps.app.goo.gl/rdVdZd6QKW4U6vw28,52.47378940000001,-8.1618514
Killarney,"Killarney Racecourse Grounds, Ross Road, Kerry",https://maps.app.goo.gl/kgK8wgN6ueUHXfqM8,https://maps.app.goo.gl/G2UoMJwxoQpFqJcYA,https://maps.app.goo.gl/odkzPd7gaQLNDqqRA,https://maps.app.goo.gl/KxKQxQhUR1LeGsT7A,https://maps.app.goo.gl/w4CPF1bRUrMBMbGQ9,https://maps.app.goo.gl/M4hZjgR67j8MPik4A,https://maps.app.goo.gl/64HpCq4ky4HbK4qR6,52.0489268,-9.5153611
Newcastle West (Longcourt House Hotel),"Longcourt House Hotel, St Mary's Road, Limerick",https://maps.app.goo.gl/CZUeEZUEovgza1s86,https://maps.app.goo.gl/P8EiizGQpc2WgyC2A,https://maps.app.goo.gl/gB9Qj2pwraJfWhgRA,https://maps.app.goo.gl/7ZeonGiV2xoToPLN9,https://maps.app.goo.gl/UGsNyRTeXQg5sAaw9,https://maps.app.goo.gl/tZf9fWe4dmTPd9mG9,https://maps.app.goo.gl/SFW5C2SKtFeqN6mG7,52.44879359999999,-9.0519098
Newcastle West,"Intreo Centre, Sheehan's Road, Limerick",https://maps.app.goo.gl/xKnU7mvcd6pKqsRb7,https://maps.app.goo.gl/fZKqSvDpHykow5RHA,https://maps.app.goo.gl/fPFBkMqiwwokiE71A,https://maps.app.goo.gl/rV5H8QLiziXoUfAn6,https://maps.app.goo.gl/zNmuyEmZ6DqEmogL8,https://maps.app.goo.gl/Rms4v9fa4Mhyuq7o9,https://maps.app.goo.gl/eWSD6HWDcE8DmZ3o6,52.452769994348536,-9.052762949199561
Limerick - Castlemungret,"Castlemungret Industrial Estate, Dock Road, Limerick",https://maps.app.goo.gl/8RAro2ZMnG8CqYKP6,https://maps.app.goo.gl/YappSn5yFnkFBsNe9,https://maps.app.goo.gl/mJ8WgWxH2JrSWNiw8,https://maps.app.goo.gl/2u6mpD8Xt7yEe11n7,https://maps.app.goo.gl/gjAgaKL4uwfLPdHZA,https://maps.app.goo.gl/hHDZptvQQotQXBVC9,https://maps.app.goo.gl/tUAAokrhdHDch8sC6,52.6439196,-8.6744009
